iter	Logloss
0	0.6852494698
1	0.6776280142
2	0.6704782238
3	0.6633621619
4	0.6563056013
5	0.649168812
6	0.6424349167
7	0.6358775774
8	0.6295366587
9	0.6233718064
10	0.6171733484
11	0.6111724555
12	0.6058354132
13	0.6004930931
14	0.5950604924
15	0.5900805634
16	0.5849356553
17	0.5803522673
18	0.5759165935
19	0.5714729024
20	0.5669189397
21	0.5627839915
22	0.5585536923
23	0.5543131895
24	0.5505787602
25	0.5467530563
26	0.5426070014
27	0.5387681236
28	0.5351633835
29	0.532004783
30	0.5283922906
31	0.5250037563
32	0.5217378796
33	0.5185235542
34	0.5156151656
35	0.5124843124
36	0.5093902593
37	0.5063567659
38	0.5033683405
39	0.5006706829
40	0.4982868993
41	0.4955391994
42	0.4932211726
43	0.4907493287
44	0.4882345724
45	0.4858784371
46	0.4836150511
47	0.4812246745
48	0.4792519402
49	0.4772471525
50	0.4755547033
51	0.473436243
52	0.4713959417
53	0.4696132282
54	0.4679490006
55	0.4659490649
56	0.4643552064
57	0.4625609557
58	0.4610562885
59	0.4596191885
60	0.4577000311
61	0.455839599
62	0.4541509422
63	0.4529199711
64	0.4512948093
65	0.450059826
66	0.4485672826
67	0.4471137047
68	0.4459500226
69	0.4446842976
70	0.4433917391
71	0.4423651625
72	0.4413145006
73	0.4398856585
74	0.4384156596
75	0.4371944479
76	0.435966522
77	0.4347354445
78	0.4336415037
79	0.4326840564
80	0.4318536646
81	0.4308855747
82	0.4299280996
83	0.4289171331
84	0.4277187174
85	0.4267615998
86	0.4260620284
87	0.4249999732
88	0.4238697368
89	0.4231181701
90	0.4223172583
91	0.4215135628
92	0.4205740591
93	0.4199475493
94	0.4193059183
95	0.4185756719
96	0.4177938392
97	0.41703599
98	0.4161659521
99	0.4154723575
100	0.4146904353
101	0.4138237505
102	0.4132945303
103	0.4125726778
104	0.4119621736
105	0.4112750823
106	0.410543696
107	0.4098051871
108	0.4090457496
109	0.4084526297
110	0.4078304519
111	0.4070186332
112	0.406141331
113	0.4057714701
114	0.4051383263
115	0.4044076243
116	0.4036003647
117	0.4030174524
118	0.4025188631
119	0.4019090433
120	0.4011309502
121	0.400801325
122	0.4001416241
123	0.3996714766
124	0.3991817237
125	0.3987579974
126	0.3984376343
127	0.3977582114
128	0.3971455989
129	0.3966311608
130	0.396147502
131	0.3955544375
132	0.3951157311
133	0.3944987165
134	0.3941352316
135	0.3937486887
136	0.3933982779
137	0.3927099197
138	0.3923575126
139	0.3920945533
140	0.3917548962
141	0.3912777162
142	0.3906154432
143	0.3900978716
144	0.389709305
145	0.3890582511
146	0.3886457235
147	0.388221231
148	0.3877701491
149	0.3874293976
150	0.3871392012
151	0.3867812437
152	0.3863975743
153	0.3857334138
154	0.3853282414
155	0.3848804053
156	0.3845062893
157	0.3842160854
158	0.3838700964
159	0.3832957142
160	0.3828709389
161	0.382533951
162	0.3820312886
163	0.3817882325
164	0.3814056973
165	0.3806518741
166	0.3802371886
167	0.3798856664
168	0.3794779126
169	0.3790641237
170	0.3787590622
171	0.3783921988
172	0.3778612364
173	0.3773612901
174	0.3771270945
175	0.3764183589
176	0.3760445199
177	0.3757378716
178	0.3754268514
179	0.3751030258
180	0.3748197679
181	0.3745779877
182	0.3741686476
183	0.3737634706
184	0.3732539255
185	0.3727804325
186	0.3723388519
187	0.3720029531
188	0.3715667732
189	0.3712627154
190	0.37106433
191	0.3703575658
192	0.3698617818
193	0.3693036033
194	0.3691843043
195	0.3689608556
196	0.3687604286
197	0.3685423447
198	0.3682035866
199	0.3678088326
200	0.3673348638
201	0.3670514772
202	0.3668722212
203	0.3664947193
204	0.3662960289
205	0.366023369
206	0.3657373825
207	0.3654860156
208	0.3650361214
209	0.364670608
210	0.3643942655
211	0.3639704394
212	0.3634490803
213	0.363096941
214	0.3625901659
215	0.3622324923
216	0.3616807888
217	0.3613143189
218	0.3608834964
219	0.3607296851
220	0.3604681076
221	0.3601831929
222	0.3597456646
223	0.3594111763
224	0.358954883
225	0.3585500312
226	0.3581168258
227	0.357750952
228	0.3574443972
229	0.3570655973
230	0.3569006429
231	0.3566376536
232	0.3563165608
233	0.3560758459
234	0.3558453468
235	0.3556868463
236	0.3553467245
237	0.3550088008
238	0.3548397691
239	0.3546245095
240	0.3543312341
241	0.3540554756
242	0.353784317
243	0.3536276567
244	0.3533952079
245	0.3532333481
246	0.3527527119
247	0.3525754743
248	0.3521616633
249	0.3518858653
250	0.3516274764
251	0.35135439
252	0.3509604606
253	0.350680427
254	0.3503555839
255	0.350052148
256	0.3498472336
257	0.3495473856
258	0.348991048
