iter	Logloss
0	0.6768531431
1	0.662153326
2	0.6478672961
3	0.6346385856
4	0.6225690904
5	0.611168428
6	0.6002001106
7	0.5897821524
8	0.5801084005
9	0.5709682832
10	0.5638334074
11	0.555987161
12	0.5488108424
13	0.5422806938
14	0.5368758397
15	0.5307989787
16	0.5248529329
17	0.5192675919
18	0.5144461678
19	0.5097546485
20	0.5060288218
21	0.5022537363
22	0.4982772516
23	0.4945607869
24	0.4910165077
25	0.4875493137
26	0.4843248331
27	0.4811074124
28	0.4784444312
29	0.4760681578
30	0.4738653245
31	0.4716659468
32	0.469597663
33	0.4673595973
34	0.4650946872
35	0.4629565511
36	0.4611123185
37	0.4592198889
38	0.457374373
39	0.4557474105
40	0.4543157825
41	0.4527796687
42	0.4516482217
43	0.4500327858
44	0.4488781894
45	0.4473668278
46	0.4460022822
47	0.4448857474
48	0.4434829943
49	0.4424468426
50	0.4414234964
51	0.4402850565
52	0.4394011973
53	0.4385037402
54	0.4375457979
55	0.4365091927
56	0.4355154024
57	0.4347777262
58	0.4342486182
59	0.4334260628
60	0.4325372677
61	0.4317671209
62	0.4310493471
63	0.4303866596
64	0.4295712223
65	0.4289808815
66	0.4282588113
67	0.4274179428
68	0.4268313133
69	0.4260920099
70	0.4256574195
71	0.4250873461
72	0.4244979165
73	0.4238312224
74	0.4233459531
75	0.4227543737
76	0.422065423
77	0.421570645
78	0.4210073873
79	0.4206168568
80	0.4200641161
81	0.4196081937
82	0.4190193306
83	0.4185149685
84	0.4180591581
85	0.4175060649
86	0.4170553685
87	0.4166304513
88	0.4162137822
89	0.4158477475
90	0.4153105577
91	0.4149043484
92	0.4144866208
93	0.4141227159
94	0.4136884099
95	0.4134937581
96	0.4130806707
97	0.4126470017
98	0.4123290699
99	0.4120955453
100	0.4116755473
101	0.4113471214
102	0.4108524034
103	0.4104745696
104	0.4101684231
105	0.4097569184
106	0.4092684478
107	0.4089299642
108	0.4086399099
109	0.408281338
110	0.4079012758
111	0.4075531054
112	0.4071970173
113	0.4069154396
114	0.4067768185
115	0.4064644097
116	0.4060183521
117	0.4056873409
118	0.4054890444
119	0.4052543991
120	0.4050365304
121	0.4047976836
122	0.4043759667
123	0.4039872439
124	0.4037688192
125	0.4034113222
126	0.4031043091
127	0.40283677
128	0.4024553787
129	0.4022585837
130	0.4017560079
131	0.4014554615
132	0.4011691568
133	0.4009137504
134	0.4006444648
135	0.4005010887
136	0.4001408289
137	0.4000052228
138	0.3996993026
139	0.3994705261
140	0.399284805
141	0.3990902082
142	0.3987230636
143	0.3985080594
144	0.3983949932
145	0.3980706396
146	0.3977399374
147	0.397486106
148	0.3971918593
149	0.3970137838
150	0.3968073126
151	0.396511953
152	0.3962969165
153	0.3961351332
154	0.3959195097
155	0.3957140005
156	0.3956064243
157	0.3952943703
158	0.3949927284
159	0.3947790252
160	0.394553451
161	0.3943764059
162	0.3942240109
163	0.3939829893
164	0.393773469
165	0.3934288951
