iter	Logloss
0	0.6872622015
1	0.6785922162
2	0.6727429387
3	0.666866666
4	0.6606914578
5	0.6545663667
6	0.6487204146
7	0.6429790281
8	0.6378618905
9	0.6316658459
10	0.6264961079
11	0.621894794
12	0.6169086153
13	0.6124726925
14	0.6082546749
15	0.6027529568
16	0.5983090303
17	0.5932503557
18	0.5893757361
19	0.5850004384
20	0.5800850715
21	0.5752282072
22	0.5707665426
23	0.5672022565
24	0.5620554263
25	0.5581911509
26	0.5548350191
27	0.5505369799
28	0.5467867583
29	0.5423778798
30	0.5382573517
31	0.5332471169
32	0.530056201
33	0.5263471006
34	0.5228184469
35	0.5194326036
36	0.517181944
37	0.5134425361
38	0.5095754893
39	0.5065191649
40	0.5030505758
41	0.4992744745
42	0.496057468
43	0.4930787251
44	0.4898575104
45	0.4872111037
46	0.4851243009
47	0.4822343229
48	0.4795089507
49	0.4769558779
50	0.4743137884
51	0.4716289114
52	0.4694980567
53	0.4670639396
54	0.4640003592
55	0.4611968578
56	0.4586874468
57	0.4561328304
58	0.4535066426
59	0.4513662914
60	0.4500013405
61	0.4476294934
62	0.4459519572
63	0.4435332302
64	0.4407991725
65	0.4386307904
66	0.4366114289
67	0.4352497802
68	0.4332537422
69	0.4311279535
70	0.4296261417
71	0.4276527138
72	0.4258621894
73	0.4241541361
74	0.4217541715
75	0.4196392447
76	0.4178129224
77	0.4162689733
78	0.414576931
79	0.413008279
80	0.4114690982
81	0.4099763912
82	0.4081800442
83	0.4072608759
84	0.4061953909
85	0.4046565595
86	0.4029621091
87	0.4019566702
88	0.4002660348
89	0.3981169592
90	0.397066875
91	0.3955107777
92	0.3940057165
93	0.3927134546
94	0.3906421763
95	0.3890997023
96	0.3877181737
97	0.3862610114
98	0.3847474598
99	0.3833479123
100	0.3821979286
101	0.3809131168
102	0.3793317683
103	0.3781259553
104	0.3768488727
105	0.3754560464
106	0.3745426732
107	0.3734462499
108	0.3724556075
109	0.37111205
110	0.3695602859
111	0.3687751563
112	0.3677060896
113	0.3666595866
114	0.3652219537
115	0.364376523
116	0.3633614064
117	0.3625012806
118	0.3616539078
119	0.3607516926
120	0.3598162424
121	0.3586334578
122	0.3578704191
123	0.3573247125
124	0.3562852313
125	0.355379447
126	0.3548582193
127	0.3537561517
128	0.3528866709
129	0.3519272693
130	0.3506003604
131	0.3493454261
132	0.3485328845
133	0.3476947742
134	0.3470024502
135	0.3464442392
136	0.3452012731
137	0.3442443838
138	0.3434241314
139	0.3425464359
140	0.3421128592
141	0.3413732057
142	0.3408429809
143	0.3400812334
144	0.3391628133
145	0.338026562
146	0.3372692964
147	0.3364279332
148	0.3355333551
149	0.3351444259
150	0.3340496494
151	0.3327752727
152	0.3318672042
153	0.3313525105
154	0.330314021
155	0.3295001923
156	0.3286663894
157	0.3281902178
158	0.3275456018
159	0.3269877357
160	0.3262016848
161	0.3253357904
162	0.3246391506
163	0.3238939896
164	0.3236252878
165	0.3229892706
166	0.3223715913
167	0.3214710869
168	0.3206650806
169	0.3202579034
170	0.3194768535
171	0.3189752081
172	0.3182841246
173	0.3174319145
174	0.3169930972
175	0.3164666568
176	0.3161244048
177	0.315210387
178	0.3144609119
179	0.3138457315
180	0.3134489804
181	0.3126135872
182	0.3118691148
183	0.3113079414
184	0.3110034792
185	0.3103128873
186	0.3093148283
187	0.3085032743
188	0.3079579391
189	0.307256465
190	0.3066265155
191	0.305818841
192	0.3050825377
193	0.3047230565
194	0.3042500752
195	0.303937022
196	0.303723095
197	0.3033169162
198	0.3025447397
199	0.3021840946
200	0.3016718831
201	0.3011041611
202	0.3003973221
203	0.2998061905
204	0.2992740843
205	0.298793284
206	0.2982108602
207	0.2978370984
208	0.2973075726
209	0.2967551074
210	0.2964355236
211	0.2961167808
212	0.2957476658
213	0.2951885461
214	0.2946148386
215	0.294205112
216	0.2935711415
217	0.2930075739
218	0.2925093284
219	0.2920144887
220	0.291748712
221	0.2911146211
222	0.290808815
223	0.2901050371
224	0.2896887617
225	0.2890820599
226	0.2887237017
227	0.2883068835
228	0.2877895675
229	0.2873818387
230	0.2871762631
231	0.2866401639
232	0.2860623518
233	0.2853104217
234	0.2850159799
235	0.284703729
236	0.2841425526
237	0.2837988034
238	0.2832412531
239	0.2826560739
240	0.2822228454
241	0.2818062254
242	0.2815936082
243	0.2811720103
244	0.2807219044
245	0.2804534053
246	0.2798473488
247	0.2795624162
248	0.279248468
249	0.2789834488
250	0.2787736422
251	0.2783297259
252	0.2780459827
253	0.2775482603
254	0.2772531492
255	0.2768317506
256	0.2765671296
257	0.2760616798
258	0.2756573033
259	0.2750448625
260	0.2748667749
261	0.2746372261
262	0.2742390333
263	0.2738934872
264	0.2736942006
265	0.2733666911
266	0.2728422537
267	0.2723772201
268	0.2720742747
269	0.2716347376
270	0.2712501002
271	0.2707078107
272	0.2704899955
273	0.270072558
274	0.2696874822
275	0.2694604608
276	0.2691546754
277	0.268953543
278	0.2688069543
279	0.2685462593
280	0.268359392
281	0.2678760541
282	0.2675839121
283	0.2672677329
284	0.2669681502
285	0.2667363727
286	0.2664466478
287	0.2662176831
288	0.2659472479
289	0.2658410141
290	0.2655840294
291	0.2651571678
292	0.2647675132
293	0.2642639648
294	0.2635492198
295	0.2634367741
296	0.2630568207
297	0.2626833595
298	0.262473077
299	0.2622400949
300	0.2618255961
301	0.26154858
302	0.2612517205
303	0.2608283601
304	0.2606051153
305	0.2603191254
306	0.2599515982
307	0.2598043082
308	0.25928837
309	0.2590694715
310	0.2586856217
311	0.2582957598
312	0.2578398906
313	0.2574137398
314	0.2570723608
315	0.2567979873
316	0.2564511122
317	0.2560517679
318	0.2557166693
319	0.2553961669
320	0.2549983627
321	0.2545612268
322	0.2540077052
323	0.253778318
324	0.2533498296
325	0.2530539237
326	0.2530243077
327	0.2527958441
328	0.2524282392
329	0.2520408014
330	0.2515043603
331	0.2511028539
332	0.2508491321
333	0.2504559218
334	0.2502372856
335	0.2498065614
336	0.2497164682
337	0.2493156111
338	0.2490161096
339	0.2488076732
340	0.2484582979
341	0.2482773526
342	0.2477430301
343	0.2476733827
344	0.2473189751
345	0.2471651202
346	0.2467884424
347	0.2465852158
348	0.2462050037
349	0.2458846287
350	0.2455183918
351	0.2452930715
352	0.245226023
353	0.2449390191
354	0.2447429919
355	0.2447322514
356	0.2445218035
357	0.2444156501
358	0.2441150733
359	0.2438523185
360	0.2437196984
361	0.243590829
362	0.2432276868
363	0.2426254291
364	0.2421259965
365	0.2417839313
366	0.2412585901
367	0.2409632323
368	0.2407733212
369	0.2403883663
370	0.2401555645
371	0.2399952023
372	0.2396421506
373	0.2393795378
374	0.2392144733
375	0.239166304
376	0.2388781437
377	0.2385566436
378	0.2383200544
379	0.2380136486
380	0.2378005794
381	0.2376369249
382	0.2375448278
383	0.2373807561
384	0.2368450232
385	0.2366316202
386	0.2363459105
387	0.2361217048
388	0.2358847492
389	0.2353361446
390	0.2349971692
391	0.2348751773
392	0.2346111116
393	0.2343767774
394	0.2342661236
395	0.2336937038
396	0.2334460295
397	0.2330163689
398	0.2328089567
399	0.2324379258
400	0.2320065105
401	0.2318405923
402	0.231776749
403	0.2316617071
404	0.2314170035
405	0.2311084162
406	0.2308842549
407	0.2306417307
408	0.2304209422
409	0.2300194969
410	0.2298422826
411	0.2295938391
412	0.2293318914
413	0.2291198177
414	0.2289135876
415	0.2285564063
416	0.2284049151
417	0.2282808679
418	0.2281739407
419	0.227805402
420	0.2275499785
421	0.227308921
422	0.2268429904
423	0.2265949385
424	0.2264195478
425	0.2261797035
426	0.2259099732
427	0.2258185822
428	0.2254593051
429	0.2250790907
430	0.2249217096
431	0.2244331545
432	0.2242873325
433	0.2236854738
434	0.2235647578
435	0.2234782697
436	0.2233378457
437	0.2232945788
438	0.2232894173
439	0.2230470975
440	0.2229399091
441	0.2226478829
442	0.2224627488
443	0.2223275542
444	0.2221467943
445	0.2218621869
446	0.2216353103
447	0.2213077943
448	0.2210667674
449	0.220937468
450	0.2206780565
451	0.2205528735
452	0.2204922793
453	0.2202316463
454	0.2201256125
455	0.2199300794
456	0.2197749177
457	0.2197147745
458	0.219578809
