iter	MultiClass
0	0.8302505959
1	0.6609208471
2	0.5416948818
3	0.4542441745
4	0.3913269504
5	0.3494386986
6	0.3038290415
7	0.2618415661
8	0.2339843765
9	0.21424007
10	0.1860318162
11	0.1690276901
12	0.1545992357
13	0.1406092183
14	0.1294373271
15	0.1206957518
16	0.1108201634
17	0.1026096661
18	0.09522335589
19	0.08709226116
20	0.08215246805
21	0.07743201471
22	0.0730893696
23	0.06775361383
24	0.06456322303
25	0.06145297232
26	0.05851233071
27	0.05543339541
28	0.05339886328
29	0.05127322478
30	0.04893196777
31	0.04696341373
32	0.04529142895
33	0.04382668172
34	0.042263187
35	0.04099082602
36	0.03955362874
37	0.03846163338
38	0.03667176217
39	0.0355998945
40	0.03458254795
41	0.03360501624
42	0.03270715368
43	0.03191555339
44	0.03116999049
45	0.0304180215
46	0.02971964523
47	0.02904662874
48	0.0284798025
49	0.02785975533
50	0.02725876745
51	0.02657264666
52	0.02603396434
53	0.02554774157
54	0.0249645352
55	0.02444789916
56	0.02396215989
57	0.02347998924
58	0.02307582569
59	0.02271282925
60	0.02230255005
61	0.02165540235
62	0.02104466844
63	0.0205837861
64	0.02020826611
65	0.0198731541
66	0.01951695185
67	0.01888660537
68	0.01862136987
69	0.01832638996
70	0.01804532278
71	0.01781617246
72	0.01751378747
73	0.01724437332
74	0.01695089562
75	0.01671702873
76	0.01647459154
77	0.01625521977
78	0.01601120581
79	0.01582232588
80	0.01563077618
81	0.01541599278
82	0.01522708688
83	0.01506495787
84	0.01489915784
85	0.01471562706
86	0.0145065703
87	0.01433764014
88	0.01416645261
89	0.0140127981
90	0.01386348791
91	0.01369584863
92	0.01353790946
93	0.01336889075
94	0.0131887331
95	0.01304659942
96	0.01292952435
97	0.01280799675
98	0.01268190417
99	0.01257402094
100	0.01242648605
101	0.01229478096
102	0.01218574525
103	0.01206471197
104	0.01193334756
105	0.01181995526
106	0.01168810624
107	0.01158639194
108	0.0114473007
109	0.01133571953
110	0.01122612153
111	0.0111317469
112	0.01102694384
113	0.01093825942
114	0.01084781918
115	0.01076193269
116	0.01067907161
117	0.01058093404
118	0.0104711012
119	0.01039024016
120	0.01023757404
121	0.01015769125
122	0.01007053992
123	0.00999269363
124	0.009890522557
125	0.009802785686
126	0.009708836228
127	0.009626627277
128	0.009549210901
129	0.009483998218
130	0.009413907465
131	0.009351399347
132	0.009274452933
133	0.009202965451
134	0.009135411463
135	0.009067386847
136	0.008999325375
137	0.008932508219
138	0.008848657498
139	0.008782847828
140	0.008706293777
141	0.008642727035
142	0.00857873145
143	0.008512635857
144	0.008450430824
145	0.008376631803
146	0.008324438882
147	0.008271768626
148	0.008217322478
149	0.008167899256
150	0.00809570352
151	0.00804007689
152	0.007988365652
153	0.007940572086
154	0.007868168669
155	0.007816240953
156	0.007775951533
157	0.007715893437
158	0.007666048909
159	0.007622455271
160	0.007578007914
161	0.007504463782
162	0.007465180476
163	0.007419407719
164	0.007368785064
165	0.007329024799
166	0.007280265668
167	0.007232670262
168	0.007189525384
169	0.007152042117
170	0.007114365476
171	0.007068844965
172	0.007026537101
173	0.00699215114
174	0.006956129512
175	0.006920928122
176	0.006878481911
177	0.00684482055
178	0.006808518544
179	0.006777965093
